Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200500000318,0,07,000,00,2,1,01,A01
200500000318,0,07,000,00,2,3,19,B02
200500000319,0,13,000,02,0,0,01,A01
200500000320,0,07,000,00,2,1,15,A01
200500000320,0,02,000,00,2,1,01,B02
200500000321,0,07,000,00,2,1,13,A01
200500000321,0,07,000,00,2,1,01,B02
200500000322,0,07,000,00,2,1,01,A01
200500000322,0,01,000,00,2,4,01,B02
200500000323,0,07,000,00,2,3,17,A01
200500000323,0,07,000,00,2,3,01,B02
200500000323,0,07,000,00,9,1,01,C03
200500000323,0,07,000,00,2,1,01,D04
200500000324,0,07,000,00,2,7,19,A01
200500000324,0,07,000,00,2,3,01,B02
200500000325,0,07,000,00,2,2,13,A01
200500000325,0,07,000,00,2,2,01,B02
200500000326,0,07,000,00,1,2,01,A01
200500000327,0,07,000,00,2,2,01,A01
200500000328,0,07,000,00,2,7,01,B02
200500000328,0,07,000,00,2,1,01,A01
200500000329,0,07,000,00,2,2,02,A01
200500000329,0,01,000,00,2,4,13,B02
200500000330,0,07,000,00,2,1,01,A01
200500000330,0,05,000,00,2,7,01,B02
200500000331,0,07,000,00,2,2,01,A01
200500000331,0,02,000,00,2,8,15,B02
200500000332,0,07,000,00,0,3,01,A01
200500000332,0,02,000,00,0,0,00,B02
200500000333,0,07,000,00,2,7,01,A01
200500000333,0,02,000,00,2,1,16,B02
200500000334,0,07,000,00,2,1,01,A01
200500000334,0,07,000,00,2,2,01,B02
200500000335,0,07,000,00,1,2,01,A01
200500000336,0,07,000,08,0,2,01,A01
200500000337,0,07,000,13,0,1,01,A01
200500000338,0,07,000,07,0,8,01,A01
200500000339,0,07,000,00,2,3,01,A01
200500000339,0,07,000,00,2,3,13,B02
200500000340,0,07,000,00,2,1,02,A01
200500000340,0,07,000,00,2,4,02,B02
200500000341,0,02,000,00,2,8,02,A01
200500000341,0,07,000,00,9,7,02,B02
200500000342,0,01,000,00,2,0,01,A01
200500000342,0,07,000,00,9,3,19,B02
200500000343,0,07,000,08,0,3,01,A01
200500000344,0,07,000,13,0,1,17,A01
200500000344,0,07,000,00,2,2,01,B02
200500000345,0,07,000,00,2,1,15,A01
200500000345,0,01,000,00,2,1,01,B02
200500000346,0,14,000,00,2,3,24,A01
200500000346,0,02,000,01,0,1,16,B02
200500000347,0,07,000,08,0,1,01,A01
200500000348,0,07,000,00,0,6,15,A01
200500000348,0,07,000,00,0,1,01,B02
200500000349,0,07,000,00,2,3,13,A01
200500000349,0,07,000,00,2,6,01,B02
200500000350,0,07,000,02,0,1,01,A01
200500000351,0,07,000,00,0,1,01,A01
200500000351,0,07,000,00,0,1,01,B02
200500000352,0,20,000,00,1,2,13,A01
200500000353,0,17,000,00,2,7,16,A01
200500000353,0,07,000,00,2,2,01,C03
200500000354,0,07,000,00,2,8,01,A01
200500000354,0,07,000,00,2,1,19,B02
200500000355,0,07,000,01,0,1,01,A01
200500000356,0,07,000,00,2,7,15,A01
200500000356,0,07,000,00,2,1,01,B02
200500000357,0,05,000,13,0,1,01,A01
200500000358,0,07,000,00,9,3,01,A01
200500000358,0,02,000,00,2,2,17,B02
200500000359,0,17,000,00,2,1,01,B02
