Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500000148,2,00016,0,,3,00,0,0,0,2,1,000,000,2,5,1,00
200500000149,3,00924,0,,2,02,0,0,0,2,3,000,045,1,0,1,00
200500000150,3,00924,0,,2,02,0,0,0,1,1,000,060,2,0,1,00
200500000151,4,00000,0,,2,00,0,0,0,1,3,000,000,2,0,1,00
200500000152,3,00136,0,,2,02,0,0,0,1,1,000,070,2,0,1,00
200500000153,3,00332,0,,2,00,0,0,0,1,1,000,070,1,0,1,00
200500000154,2,00330,0,,2,00,13,500,0,1,1,000,070,1,5,1,00
200500000155,3,00123,0,,2,00,0,0,0,1,1,000,062,7,0,1,00
200500000156,3,00121,0,,3,02,5,800,0,2,4,000,057,2,0,1,00
200500000157,3,00155,0,,2,02,6,250,0,1,1,000,055,1,0,1,00
200500000158,3,00155,0,,2,02,5,800,0,1,1,000,070,1,0,1,00
200500000159,3,00920,0,,2,02,42,400,0,3,1,000,063,2,0,1,00
200500000160,3,00154,0,,0,02,8,943,0,1,1,000,066,1,0,1,00
200500000161,2,00027,0,,3,04,26,0,0,1,2,015,100,7,0,2,00
200500000162,4,00000,0,,2,02,6,100,0,0,1,000,000,1,0,1,03
200500000163,3,00095,0,,2,02,1,300,0,1,1,000,052,1,0,1,00
200500000164,4,00000,0,,1,01,0,0,0,2,1,000,000,2,0,1,00
200500000165,4,00003,0,,2,00,0,0,0,2,4,000,000,1,0,3,00
200500000166,3,00913,0,,2,00,18,100,0,1,1,000,060,2,0,1,00
200500000167,3,00010,0,,2,02,19,100,0,1,3,000,067,1,0,1,00
200500000168,3,00139,0,,2,02,6,900,3,1,1,000,025,2,5,1,00
200500000169,3,00079,0,,2,02,14,471,0,0,1,000,068,2,0,1,00
200500000170,3,00011,0,,2,02,27,200,0,1,1,000,050,1,0,1,00
200500000171,2,00940,0,,2,02,11,450,0,1,1,011,115,1,0,1,00
200500000172,3,00940,0,,2,02,11,100,0,4,1,000,077,1,0,1,00
200500000173,3,00982,0,,2,02,0,0,0,1,1,000,060,1,5,1,00
200500000174,3,00040,0,,2,02,4,300,0,1,1,000,060,1,0,1,00
200500000175,3,00910,0,,2,02,7,950,0,1,0,000,090,5,0,1,03
200500000176,3,00982,0,,2,00,52,500,0,0,1,000,063,1,0,1,00
200500000177,3,00056,0,,2,02,15,900,0,1,1,000,057,1,0,1,00
200500000178,2,00029,2,,2,01,52,600,0,2,2,000,070,1,0,1,00
200500000179,9,00000,0,,2,00,0,0,0,2,0,000,058,2,0,1,00
200500000180,3,00115,0,,2,02,30,100,0,1,2,000,048,1,0,0,00
200500000181,3,00915,0,,2,02,29,110,0,1,1,000,075,1,0,1,00
200500000182,2,00031,0,,2,00,0,0,0,0,0,000,000,1,0,1,00
200500000183,2,00031,0,,2,02,30,0,0,3,4,000,046,1,0,1,00
200500000184,2,00015,0,,3,00,46,195,0,1,1,000,098,1,0,1,00
200500000185,3,00143,0,,2,00,3,100,0,1,3,000,065,1,0,3,00
200500000186,3,00142,0,,2,02,0,0,0,1,1,000,060,1,5,1,00
200500000187,3,00142,0,,2,00,0,0,0,1,1,000,060,1,0,1,03
